,precision,recall,f1-score,support
Hypertrophic,0.9358778625954198,0.9081481481481481,0.9218045112781955,1350.0
Proliferative,0.8708449632073078,0.9538632573652029,0.9104655789892558,3598.0
Resting,0.6153846153846154,0.48,0.5393258426966292,50.0
Undetermined_1,0.5371621621621622,0.29174311926605506,0.37812128418549346,545.0
Undetermined_2,0.501628664495114,0.44,0.4687975646879756,350.0
accuracy,0.8476158153741727,0.8476158153741727,0.8476158153741727,0.8476158153741727
macro avg,0.692179653568924,0.6147509049558812,0.6437029563675098,5893.0
weighted avg,0.8307870242397096,0.8476158153741727,0.8344498189522523,5893.0
