,precision,recall,f1-score,support
Hypertrophic,0.9409937888198758,0.8977777777777778,0.9188779378316907,1350.0
Proliferative,0.900382096069869,0.9168982768204558,0.9085651335720187,3598.0
Resting,0.5769230769230769,0.6,0.5882352941176471,50.0
Undetermined_1,0.5235955056179775,0.42752293577981654,0.4707070707070707,545.0
Undetermined_2,0.4617117117117117,0.5857142857142857,0.5163727959697733,350.0
accuracy,0.8449007296792805,0.8449007296792805,0.8449007296792805,0.8449007296792805
macro avg,0.6807212358285021,0.6855826552184672,0.6805516464396402,5893.0
weighted avg,0.8460412693149961,0.8449007296792805,0.8444222235695844,5893.0
