,precision,recall,f1-score,support
Hypertrophic,0.9374068554396423,0.9318518518518518,0.9346210995542348,1350.0
Proliferative,0.8666169895678092,0.9697053918843802,0.9152675760755509,3598.0
Resting,0.7692307692307693,0.4,0.5263157894736842,50.0
Undetermined_1,0.604,0.27706422018348625,0.379874213836478,545.0
Undetermined_2,0.5823293172690763,0.4142857142857143,0.48414023372287146,350.0
accuracy,0.8591549295774648,0.8591549295774648,0.8591549295774648,0.8591549295774648
macro avg,0.7519167863014594,0.5985814356410865,0.6480437825325638,5893.0
weighted avg,0.8408355647062973,0.8591549295774648,0.8412807637766194,5893.0
