,precision,recall,f1-score,support
Hypertrophic,0.9278425655976676,0.942962962962963,0.9353416605437178,1350.0
Proliferative,0.8504356243949661,0.9766536964980544,0.9091849935316947,3598.0
Resting,0.7333333333333333,0.44,0.55,50.0
Undetermined_1,0.65625,0.1926605504587156,0.2978723404255319,545.0
Undetermined_2,0.6030150753768844,0.34285714285714286,0.4371584699453552,350.0
accuracy,0.8542338367554726,0.8542338367554726,0.8542338367554726,0.8542338367554726
macro avg,0.7541753197405703,0.5790268705553752,0.62591149288926,5893.0
weighted avg,0.8345211323907206,0.8542338367554726,0.8275589238883159,5893.0
