,precision,recall,f1-score,support
Hypertrophic,0.9487381703470031,0.8911111111111111,0.919022154316272,1350.0
Proliferative,0.902020481594243,0.905780989438577,0.9038968242962141,3598.0
Resting,0.5689655172413793,0.66,0.6111111111111112,50.0
Undetermined_1,0.5146443514644351,0.45137614678899085,0.4809384164222874,545.0
Undetermined_2,0.41596638655462187,0.5657142857142857,0.4794188861985472,350.0
accuracy,0.8381130154420499,0.8381130154420499,0.8381130154420499,0.8381130154420499
macro avg,0.6700669814403365,0.694796506610593,0.6788774784688865,5893.0
weighted avg,0.8452034456896053,0.8381130154420499,0.8405505319565484,5893.0
