,precision,recall,f1-score,support
Hypertrophic,0.9471228615863142,0.9022222222222223,0.9241274658573596,1350.0
Proliferative,0.9070276182663385,0.9219010561423013,0.9144038594073053,3598.0
Resting,0.603448275862069,0.7,0.6481481481481481,50.0
Undetermined_1,0.5472103004291845,0.46788990825688076,0.5044510385756676,545.0
Undetermined_2,0.47417840375586856,0.5771428571428572,0.520618556701031,350.0
accuracy,0.8530459867639573,0.8530459867639573,0.8530459867639573,0.8530459867639573
macro avg,0.695797491979955,0.7138312087528524,0.7023498137379023,5893.0
weighted avg,0.854652248855485,0.8530459867639573,0.8530709118159558,5893.0
